# file produced from stan branch - Group-Studies---Exoplanets\Code\filtering_code_stan.ipynb
# on 22/01/2026 at 15:08
#
# WHAT HAS BEEN DONE/FILTERED
# kept only the columns needed for analysis and uncertainty calculations
# removed planets with no measured mass, zero/invalid mass uncertainties, or flagged as mass limits
# removed planets with no measured radius, zero/invalid radius uncertainties, or flagged as radius limits
# removed planets where the host star has missing radius, mass, temperature, metallicity, or j-mag
# removed planets flagged as controversial
# removed planets where stellar temperature, radius, semi-major axis, or j-mag uncertainties are missing or zero
#
#^note: doing the line above takes out 70 planets almost all from sm axis Unc
# which are all kepler planets so faint anyway so low TSM a lot of the 
# existing values for sm axis come from KOI catalogue rather than confirmed planet catalogue
#
# computed average uncertainties for mass, radius, stellar temp, stellar radius, semi-major axis, and j-mag
# computed planet surface gravity in cgs units
# computed absolute error on planet gravity from mass and radius uncertainties
# filtered planets to only those with radii between 1.5 and 4 earth radii (sub-neptunes)
# computed equilibrium temperature (teq) assuming full heat redistribution and a bond albedo of 0.3
# computed fractional uncertainties for teq based on stellar and orbital uncertainties
# computed transmission spectroscopy metric (tsm) for each planet
# computed fractional uncertainties for tsm based on planet, stellar, and teq uncertainties
#
# INDEXED COLUMNS
#
# COLUMN pl_name:             Planet Name
# COLUMN pl_orbper:           Orbital Period [days]
# COLUMN pl_orbsmax:          Orbit Semi-Major Axis [au]
# COLUMN pl_bmasse:           Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_rade:             Planet Radius [Earth Radius]
# COLUMN pl_radelim:          Planet Radius Limit Flag
# COLUMN pl_radeerr1:         Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:         Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_trandep:          Transit Depth [%]
# COLUMN pl_trandur:          Transit Duration [hours]
# COLUMN pl_bmasselim:        Planet Mass or Mass*sin(i) Limit Flag
# COLUMN pl_bmasseerr2:       Planet Mass or Mass*sin(i) Lower Unc. [Earth Mass]
# COLUMN pl_bmasseerr1:       Planet Mass or Mass*sin(i) Upper Unc. [Earth Mass]
# COLUMN pl_orbeccen:         Orbital Eccentricity
# COLUMN pl_orbincl:          Orbital Inclination [deg]
# COLUMN st_rad:              Stellar Radius [Solar Radius]
# COLUMN st_mass:             Stellar Mass [Solar Mass]
# COLUMN st_teff:             Stellar Effective Temperature [K]
# COLUMN pl_ratror:           Ratio of Planet Radius to Stellar Radius
# COLUMN st_met:              Stellar Metallicity [dex]
# COLUMN st_metlim:           Stellar Metallicity Limit Flag
# COLUMN sy_jmag:             J (2MASS) Magnitude
# COLUMN discoverymethod:     Discovery Method
# COLUMN pl_controv_flag:     Controversial Flag
# COLUMN st_tefferr1:         Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:         Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_raderr1:          Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:          Stellar Radius Lower Unc. [Solar Radius]
# COLUMN pl_orbsmaxerr1:      Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2:      Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN sy_jmagerr1:         J Magnitude Upper Unc.
# COLUMN sy_jmagerr2:         J Magnitude Lower Unc.
# COLUMN pl_bmasseerr_avg:    Planet Mass 1σ Average Error [Earth Mass]
# COLUMN pl_radeerr_avg:      Planet Radius 1σ Average Error [Earth Radius]
# COLUMN st_tefferr_avg:      Stellar Effective Temperature 1σ Average Error [K]
# COLUMN st_raderr_avg:       Stellar Radius 1σ Average Error [Solar Radius]
# COLUMN pl_orbsmaxerr_avg:   Orbit Semi-Major Axis 1σ Average Error [au]
# COLUMN sy_jmagerr_avg:      J Magnitude 1σ Average Error
# COLUMN g_planet_cgs:        Planet Surface Gravity [cm/s²]
# COLUMN g_planet_cgs_err:    Planet Surface Gravity 1σ Error [cm/s²]
# COLUMN pl_Teq:              Planet Equilibrium Temperature [K]
# COLUMN pl_Teq_err:          Planet Equilibrium Temperature 1σ Error [K]
# COLUMN pl_tsm:              Transmission Spectroscopy Metric (TSM)
# COLUMN pl_tsm_err:          TSM 1σ Error
#
pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,discoverymethod,pl_controv_flag,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
EPIC 249893012 c,15.624,0.13,14.67,3.67,0.0,0.17,-0.14,,6.37,0.0,-1.89,1.84,0.07,87.94,1.71,1.05,5430.0,0.0197,0.2,0.0,10.216,Transit,0.0,85.0,-85.0,0.04,-0.04,0.01,-0.02,0.026,-0.026,1.865,0.15500000000000003,85.0,0.04,0.015,0.026,1069.5677461612765,163.2520689330955,868.62869810801,52.9096654949881,11.59898539100776,2.2687225503037136
EPIC 249893012 d,35.747,0.22,10.18,3.94,0.0,0.13,-0.12,,9.56,0.0,-2.42,2.46,0.15,89.47,1.71,1.05,5430.0,0.0211,0.2,0.0,10.216,Transit,0.0,85.0,-85.0,0.04,-0.04,0.02,-0.04,0.026,-0.026,2.44,0.125,85.0,0.04,0.03,0.026,643.9700164843678,159.6673531965863,667.7201917140624,47.35918250475691,15.89838997728236,4.321048703257686
G 9-40 b,5.7459982,0.0418,4.0,1.9,0.0,0.065,-0.065,0.365,1.693,0.0,-0.63,0.63,0.0,89.03,0.3026,0.2952,3395.0,0.0575,-0.07,0.0,10.058,Transit,0.0,51.0,-51.0,0.0095,-0.0095,0.00064,-0.00064,0.022,-0.022,0.63,0.065,51.0,0.0095,0.00064,0.022,1088.0856981966413,186.8458607936916,402.89702874904333,9.281289569677067,92.56090109201843,18.492567581611343
GJ 1214 b,1.580404531,0.01505,8.41,2.733,0.0,0.033,-0.031,1.343,0.86966,0.0,-0.35,0.36,0.0062,88.98,0.2162,0.182,3101.0,0.11589,0.24,0.0,9.75,Transit,0.0,43.0,-43.0,0.0025,-0.0024,0.00011,-0.00011,0.024,-0.024,0.355,0.032,43.0,0.00245,0.00011,0.024,1105.6738668774178,53.37327766932817,518.4051724509364,7.993180029666558,380.58475799071584,23.734690991627097
GJ 143 b,35.61253,0.1915,22.7,2.61,0.0,0.17,-0.16,0.1575,3.23,0.0,-1.9,2.2,0.188,89.33,0.695,0.73,4640.0,0.035,0.003,0.0,6.081,Transit,0.0,100.0,-100.0,0.03,-0.03,0.0058,-0.0063,0.02,-0.02,2.05,0.165,100.0,0.03,0.00605,0.02,3272.315391366838,508.44096180903074,389.8826944028445,13.391864526144431,48.42064379669883,11.130679375280296
GJ 3090 b,2.8531054,0.03165,3.34,2.13,0.0,0.11,-0.11,0.1395,1.281,0.0,-0.72,0.72,0.32,87.14,0.516,0.519,3556.0,0.0379,-0.06,0.0,8.168,Transit,0.0,70.0,-70.0,0.016,-0.016,0.00027,-0.00027,0.021,-0.021,0.72,0.11,70.0,0.016,0.00027,0.021,722.9322057702495,172.80652394341482,633.2974086440051,16.097027491855087,201.5910265223682,55.22954780052977
GJ 414 A b,50.8,0.2324,7.6,2.63,0.0,1.22,-0.85,,,0.0,-2.19,2.44,0.45,,0.68,0.65,4120.0,,0.24,0.0,5.764,Radial Velocity,0.0,109.0,-109.0,0.14,-0.14,0.0092,-0.0099,0.02,-0.02,2.315,1.035,109.0,0.14,0.00955,0.02,1078.9775483136607,910.6129973776879,310.84334627376495,33.65010906879987,142.60933293702303,184.1800755568367
GJ 9827 d,6.20183,0.053,3.02,1.98,0.0,0.11,-0.1,0.0957,1.2264,0.0,-0.57,0.58,0.0,87.41,0.58,0.62,4236.0,0.03093,-0.29,0.0,7.984,Transit,0.0,12.0,-12.0,0.03,-0.03,0.003,-0.003,0.02,-0.02,0.575,0.10500000000000001,12.0,0.03,0.003,0.02,756.4615791041361,164.86698484013772,618.0732934987349,23.760625873065415,150.57163430639253,40.911538676616466
HD 106315 b,9.55237,0.0907,12.6,2.44,0.0,0.17,-0.17,0.03542093,3.775,0.0,-3.2,3.2,0.093,87.54,1.296,1.091,6327.0,0.01728,-0.311,0.0,8.116,Transit,0.0,48.0,-48.0,0.058,-0.058,0.001,-0.001,0.026,-0.026,3.2,0.17,48.0,0.058,0.001,0.026,2078.2663459155983,602.0400690938122,1054.8838822629148,25.593813845215664,21.725217481560808,7.428979330717629
HD 110067 b,9.113678,0.0793,5.69,2.2,0.0,0.03,-0.03,,3.0948,0.0,-1.82,1.78,,89.061,0.788,0.798,5266.0,0.0256,-0.2,0.0,6.952,Transit,0.0,64.0,-64.0,0.008,-0.008,0.00096,-0.00096,0.023,-0.023,1.8,0.03,64.0,0.008,0.00096,0.023,1154.4555536202163,366.56031160611127,732.1757401140533,10.613053906874674,113.15903132098511,36.22537658929075
HD 110067 d,20.519617,0.1362,8.52,2.852,0.0,0.039,-0.039,,3.8177,0.0,-3.25,3.31,,89.248,0.788,0.798,5266.0,0.0332,-0.2,0.0,6.952,Transit,0.0,64.0,-64.0,0.008,-0.008,0.0017,-0.0017,0.023,-0.023,3.2800000000000002,0.039,64.0,0.008,0.0017,0.023,1028.6102908447695,396.9888146307964,558.6803219642252,8.142583455145575,127.62327298292885,49.531439974447814
HD 110067 f,41.05854,0.2163,5.04,2.601,0.0,0.042,-0.042,,5.165,0.0,-1.94,1.89,,89.673,0.788,0.798,5266.0,0.03026,-0.2,0.0,6.952,Transit,0.0,64.0,-64.0,0.008,-0.008,0.0026,-0.0026,0.023,-0.023,1.915,0.042,64.0,0.008,0.0026,0.023,731.57717070302,278.97257044635563,443.3264761557129,6.418219300064192,127.82985582822323,49.08576867548696
HD 110113 b,2.541,0.035,4.55,2.05,0.0,0.12,-0.12,0.0572,2.376,0.0,-0.62,0.62,0.093,87.69,0.968,0.997,5732.0,0.018,0.14,0.0,8.903,Transit,0.0,50.0,-50.0,0.018,-0.018,0.001,-0.001,0.037,-0.037,0.62,0.12,50.0,0.018,0.001,0.037,1063.1975987941064,191.0028882488385,1329.5901933651462,25.457938584809526,56.10322417057616,12.725250392777989
HD 110113 c,6.744,0.068,10.5,2.11384817,0.0,4.644325,-4.644325,0.04505421,1.3710857,0.0,-1.2,1.2,0.045,,0.968,0.997,5732.0,,0.14,0.0,8.903,Radial Velocity,0.0,50.0,-50.0,0.018,-0.018,0.001,-0.002,0.037,-0.037,1.2,4.644325,50.0,0.018,0.0015,0.037,2307.5548399968357,10143.26275845116,953.8879641964897,16.080350789153655,19.12270262394149,126.06496083823922
HD 135694 b,15.923475568,0.124695,6.1,2.857,0.0,0.227,-0.206,0.0493,4.4904,0.0,-1.8,1.8,0.0,,1.08,1.02,5712.0,0.0243,-0.121,0.0,7.871,Transit,0.0,106.0,-106.0,0.05,-0.05,0.00482,-0.005226,0.024,-0.024,1.8,0.2165,106.0,0.05,0.005023,0.024,733.870899529915,243.44508419355503,741.4528208046867,26.587886204229953,82.91762737139037,31.978332501260063
HD 136352 b,11.57797,0.0964,4.72,1.664,0.0,0.043,-0.043,0.0208,3.935,0.0,-0.42,0.42,0.0,88.49,1.058,0.87,5664.0,0.01442,-0.24,0.0,4.308,Radial Velocity,0.0,61.0,-61.0,0.019,-0.019,0.0028,-0.0028,0.226,-0.226,0.42,0.043,61.0,0.019,0.0028,0.226,1673.962278531968,172.25620082215383,827.6286698081713,16.707576741873282,125.06987147627576,20.343565025075968
HD 136352 c,27.59221,0.1721,11.24,2.916,0.0,0.075,-0.073,0.0638,3.251,0.0,-0.63,0.65,0.0,88.571,1.058,0.87,5664.0,0.02526,-0.24,0.0,4.308,Radial Velocity,0.0,61.0,-61.0,0.019,-0.019,0.005,-0.005,0.226,-0.226,0.64,0.074,61.0,0.019,0.005,0.226,1298.080376170232,99.01317615898948,619.4176959157002,12.505973912703164,214.89113036589694,31.558853475322508
HD 136352 d,107.245,0.425,8.82,2.562,0.0,0.088,-0.079,0.0492,8.87,0.0,-0.92,0.93,0.0,89.73,1.058,0.87,5664.0,0.02219,-0.24,0.0,4.308,Radial Velocity,0.0,61.0,-61.0,0.019,-0.019,0.012,-0.012,0.226,-0.226,0.925,0.08349999999999999,61.0,0.019,0.012,0.226,1319.5341878829195,162.93820212129762,394.16637972405357,7.843040691913525,116.34496126391937,21.159672005512512
HD 152843 b,11.62071,0.1049,9.82,3.05,0.0,0.11,-0.11,0.0486009,5.59,0.0,-1.61,1.71,0.046,89.26,1.43,1.15,6310.0,0.01957,-0.16,0.0,7.896,Transit,0.0,100.0,-100.0,0.02,-0.02,0.0029,-0.003,0.018,-0.018,1.6600000000000001,0.11,100.0,0.02,0.00295,0.018,1036.6260580008216,190.5203649515265,1027.584628071701,22.92616717817226,48.97151321472388,9.991977476843484
HD 15337 b,4.7559804,0.05245,6.519,1.77,0.0,0.032,-0.03,0.0344,2.5536,0.0,-0.4,0.409,0.058,89.3,0.855,0.829,5131.0,0.01898,0.03,0.0,7.553,Transit,0.0,74.0,-74.0,0.008,-0.008,0.00085,-0.00072,0.019,-0.019,0.40449999999999997,0.031,74.0,0.008,0.000785,0.019,2043.3594039247573,145.5971436631064,913.7350635347923,15.449561413649674,41.34256562893766,3.5379831718559878
HD 15337 c,17.180546,0.1235,6.792,2.526,0.0,0.086,-0.075,0.06801386,2.232,0.0,-1.143,1.302,0.096,88.41,0.855,0.829,5131.0,0.02707,0.03,0.0,7.553,Transit,0.0,74.0,-74.0,0.008,-0.008,0.002,-0.0017,0.019,-0.019,1.2225000000000001,0.08049999999999999,74.0,0.008,0.00185,0.019,1045.3008350669754,199.59291250449735,595.469549996449,10.070012958650654,75.16233013055702,15.44947132858651
HD 183579 b,17.471291,0.1322,20.4,3.49,0.0,0.07,-0.064,0.1106,4.306,0.0,-2.5,2.6,0.061,89.11,0.96,0.996,5784.0,0.03326,-0.038,0.0,7.518,Transit,0.0,61.0,-61.0,0.006,-0.006,0.0021,-0.0022,0.023,-0.023,2.55,0.067,61.0,0.006,0.00215,0.023,1644.71110988402,215.0689044185668,687.4737788543664,9.403928280017398,62.39786861020085,8.69046189726354
HD 18599 b,4.1374354,0.048,24.1,2.6,0.0,0.15,-0.13,0.11255355,2.06,0.0,-7.7,7.1,0.34,87.6,0.767,0.863,5145.0,0.0309,0.0,0.0,7.428,Transit,0.0,50.0,-50.0,0.024,-0.024,0.0004,-0.0004,0.018,-0.018,7.4,0.14,50.0,0.024,0.0004,0.018,3500.907685976553,1139.1662924489424,907.1318329484006,17.1297057158759,46.318365556509384,16.357567663871713
HD 191939 b,8.8803256,0.0804,10.0,3.41,0.0,0.075,-0.075,0.1238,2.939,0.0,-0.7,0.7,0.031,88.1,0.94,0.81,5348.0,0.03319,-0.15,0.0,7.597,Transit,0.0,100.0,-100.0,0.02,-0.02,0.0025,-0.0023,0.029,-0.029,0.7,0.075,100.0,0.02,0.0024000000000000002,0.029,844.5036958939711,69.81838416580923,806.5573738703368,21.118515417922026,140.1046874023834,15.301833910051021
HD 191939 c,28.579743,0.1752,8.0,3.195,0.0,0.075,-0.075,0.10813969,4.162,0.0,-1.0,1.0,0.034,89.1,0.94,0.81,5348.0,0.03118,-0.15,0.0,7.597,Transit,0.0,100.0,-100.0,0.02,-0.02,0.0055,-0.005,0.029,-0.029,1.0,0.075,100.0,0.02,0.0052499999999999995,0.029,769.5885091366596,102.7599471202464,546.381818815485,14.324135141391542,97.58276113353516,14.882814029047402
HD 191939 d,38.353037,0.2132,2.8,2.995,0.0,0.07,-0.07,0.10290917,5.36,0.0,-0.6,0.6,0.031,89.49,0.94,0.81,5348.0,0.02916,-0.15,0.0,7.597,Transit,0.0,100.0,-100.0,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100.0,0.02,0.0063,0.029,306.53120357445067,67.22993312670687,495.3015536189921,12.926390363198617,208.18833961192578,48.15634282217507
HD 20329 b,0.926118,0.018,7.42,1.72,0.0,0.07,-0.07,0.0221,1.26,0.0,-1.09,1.09,0.0,76.01,1.13,0.9,5596.0,0.0139,-0.07,0.0,7.492,Transit,0.0,50.0,-50.0,0.02,-0.02,0.0003,-0.0003,0.021,-0.021,1.09,0.07,50.0,0.02,0.0003,0.021,2462.9598033594907,413.63715709909303,1955.6387771758982,29.503097900166647,42.00333108829042,8.194477239453139
HD 207496 b,6.441008,0.0629,6.1,2.25,0.0,0.12,-0.1,0.0914,1.762,0.0,-1.6,1.6,0.231,88.79,0.769,0.8,4819.0,0.02663,0.095,0.0,6.57,Transit,0.0,94.0,-94.0,0.026,-0.026,0.0011,-0.0011,0.023,-0.023,1.6,0.11,94.0,0.026,0.0011,0.023,1183.2461807401596,331.2227195922546,743.1949303860836,20.254324398838843,143.4955137057376,44.399571293660124
HD 207897 b,16.20166,0.117,14.8,2.34302132,0.0,0.123646,-0.09173373,0.0885,2.9048422,0.0,-1.4,1.5,0.0,88.757,0.7827,0.8208,5106.0,0.02744436,-0.03,0.0,6.83,Transit,0.0,67.0,-63.0,0.0329,-0.0264,0.002,-0.002,0.023,-0.023,1.45,0.107689865,65.0,0.02965,0.002,0.023,2647.3998938267528,355.66625397774413,582.4967566330299,14.195040642057052,44.82707428970588,8.39324753341318
HD 213885 b,1.008035,0.02012,8.83,1.745,0.0,0.051,-0.052,0.02,1.41,0.0,-0.65,0.66,0.0,80.09,1.1011,1.068,5978.0,0.01453,-0.04,0.0,6.806,Transit,0.0,50.0,-50.0,0.008,-0.0075,0.00015,-0.00012,0.023,-0.023,0.655,0.0515,50.0,0.00775,0.000135,0.023,2847.6076667207644,269.94596917472614,1950.5777630027708,18.87092016068918,53.10138872104999,6.2256831175441185
