pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,discoverymethod,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err,pl_eqt_calc,pl_eqt_calc_err,TSM,TSM_err,Teq_bin
HD 20329 b,0.926118,0.018,7.42,1.72,0,0.07,-0.07,0.0221,1.26,0,-1.09,1.09,0.0,76.01,1.13,0.9,5596.0,0.0139,-0.07,0,7.492,Transit,0,4.4,50.0,-50.0,0.02,-0.02,0.0003,-0.0003,0.021,-0.021,1.09,0.07,50.0,0.02,0.0003,0.021,2462.9598033594907,413.637157099093,1955.6387771758984,29.503097900166647,42.00333108829042,8.194477239453139,1955.6241516622251,29.502877257189642,42.0030169605996,8.194415955927617,Hottest (>1700 K)
HD 213885 b,1.008035,0.02012,8.83,1.745,0,0.051,-0.052,0.02,1.41,0,-0.65,0.66,0.0,80.09,1.1011,1.068,5978.0,0.01453,-0.04,0,6.806,Transit,0,4.3827,50.0,-50.0,0.008,-0.0075,0.00015,-0.00012,0.023,-0.023,0.655,0.0515,50.0,0.00775,0.000135,0.023,2847.6076667207644,269.94596917472614,1950.5777630027708,18.87092016068918,53.10138872104999,6.225683117544119,1950.5631753385887,18.870779031916296,53.10099159500819,6.225636557916328,Hottest (>1700 K)
HD 219134 b,3.092926,0.03876,4.74,1.602,0,0.055,-0.055,0.0358,0.945,0,-0.19,0.19,0.0,85.05,0.778,0.81,4699.0,0.0189,0.11,0,3.981,Radial Velocity,0,4.567,16.0,-16.0,0.005,-0.005,0.00047,-0.00047,0.258,-0.258,0.19,0.055,16.0,0.005,0.00047,0.258,1813.6923898304797,144.20310385880126,928.5628926776482,7.112997806301505,268.0599110028496,43.68266277594259,928.5559482922937,7.112944610768729,268.0579062799226,43.68233608913869,Hot (800–1100 K)
HD 219134 c,6.76458,0.0653,4.36,1.511,0,0.047,-0.047,0.0318,1.66,0,-0.22,0.22,0.062,87.28,0.778,0.81,4699.0,0.01776,0.11,0,3.981,Radial Velocity,0,4.567,16.0,-16.0,0.005,-0.005,0.0008,-0.0008,0.258,-0.258,0.22,0.047,16.0,0.005,0.0008,0.258,1875.2875619969177,150.21302584224097,715.3961817990162,5.515620072055863,188.39304808402773,30.140046861178625,715.3908316102387,5.515578822732256,188.39163916069646,30.139821454691177,Warm (500–800 K)
HD 25463 b,7.0491423,0.076,8.7,2.54535814,0,0.1117151,-0.08338345,0.03005227,3.3487071,0,-2.6,2.7,0.0,,1.4182,1.251,6353.0,0.01645417,-0.018,0,5.945,Transit,0,4.227,85.0,-77.0,0.0241,-0.023,0.001,-0.001,0.024,-0.024,2.6500000000000004,0.0975492749999999,81.0,0.02355,0.001,0.024,1318.6567736357465,414.181658829676,1210.4553234297823,20.06503275239735,93.01902604744572,30.49811375868525,1210.4462708730987,20.064882693289146,93.01833039186086,30.49788567434524,Very hot (1100–1400 K)
HD 3167 b,0.959641,0.01796,4.97,1.67,0,0.17,-0.1,0.0294,1.609,0,-0.23,0.24,0.0,83.4,0.88,0.837,5261.0,0.01725,0.04,0,7.548,Transit,0,4.53,60.0,-60.0,0.012,-0.013,0.00037,-0.00031,0.032,-0.032,0.235,0.135,60.0,0.0125,0.00034,0.032,1749.982714630739,294.78294729754447,1624.2932395296534,26.6950110951869,76.6059781481747,19.127518035189752,1624.281092029174,26.69481145287344,76.60540523982685,19.127374987414356,Extremely hot (1400–1700 K)
HD 80653 b,0.719573,0.01661,5.72,1.613,0,0.071,-0.071,0.01596404,1.7976,0,-0.35,0.36,0.0,82.1,1.22,1.18,5959.0,0.0121,0.255,0,8.315,Transit,0,4.34,61.0,-61.0,0.01,-0.01,0.00019,-0.00019,0.023,-0.023,0.355,0.071,61.0,0.01,0.00019,0.023,2158.92525424068,232.54260567398245,2252.5604239426766,27.98047733248232,30.39725779597996,4.490652360910802,2252.543577859615,27.98026807663274,30.397030465905157,4.49061877694925,Hottest (>1700 K)
HD 86226 c,3.98442,0.049,7.25,2.16,0,0.08,-0.08,0.0445,3.12,0,-1.12,1.19,0.075,86.45,1.053,1.019,5863.0,0.0188,0.018,0,6.839,Transit,0,4.4,88.0,-88.0,0.026,-0.026,0.001,-0.001,0.019,-0.019,1.155,0.08,88.0,0.026,0.001,0.019,1525.951803414973,268.0935096374831,1198.7924657308974,26.31398850245373,81.18598317459781,16.383182070965297,1198.7835003964997,26.31379170967015,81.1853760140522,16.383059547084006,Very hot (1100–1400 K)
HR 858 b,3.585287,0.04888,3.55,2.004,0,0.045,-0.047,0.02137,2.705,0,-0.96,0.94,0.0,85.98,1.258,1.204,6354.0,0.0146,0.025,0,5.473,Transit,0,4.3,70.0,-70.0,0.019,-0.019,0.00066,-0.00066,0.027,-0.027,0.95,0.046,70.0,0.019,0.00066,0.027,868.0469814636604,235.68768240655496,1421.771804758616,21.277900402161467,206.3972748818765,57.512595644869904,1421.7611718425517,21.27774127245567,206.39573131145795,57.51216552901017,Extremely hot (1400–1700 K)
K2-100 b,1.6739035,0.0301,21.8,3.88,0,0.16,-0.16,0.01225,1.6056,0,-6.2,6.2,0.0,81.27,1.24,1.15,5945.0,0.02867,0.22,0,9.463,Transit,0,4.33,110.0,-110.0,0.05,-0.05,0.0014,-0.0014,0.026,-0.026,6.2,0.16,110.0,0.05,0.0014,0.026,1422.0123066458857,421.0872231587194,1683.0127991974316,60.44030151180368,48.072056481144585,15.512206675244638,1683.0002125546457,60.43984950069279,48.07169696765592,15.512090665072678,Extremely hot (1400–1700 K)
K2-141 b,0.2803244,0.00747,4.97,1.51,0,0.05,-0.05,0.0507,0.94,0,-0.34,0.35,0.0,86.3,0.681,0.708,4570.0,0.02088,0.0,0,9.086,Transit,0,4.62,100.0,-100.0,0.018,-0.018,0.0001,-0.0001,0.021,-0.021,0.345,0.05,100.0,0.018,0.0001,0.021,2140.488045626801,205.3577458151827,1924.5864336824943,50.8570248885684,55.18082567653348,7.459211440260216,1924.572040398045,50.85664454731031,55.18041299913628,7.4591556555211405,Hottest (>1700 K)
K2-266 b,0.658524,0.01306,11.26782377,3.3,0,1.8,-1.3,0.18,0.33336,0,-11.3711983,11.3711983,,75.32,0.703,0.686,4285.0,0.043,-0.12,0,9.611,Transit,0,4.581,49.0,-57.0,0.024,-0.022,0.0002,-0.00021,0.027,-0.027,11.3711983,1.55,53.0,0.023,0.000205,0.027,1016.0673093919454,1400.881505862939,1386.6436440731543,30.448813569499517,137.014319673393,237.6670608841704,1386.6332738678732,30.448585853857768,137.01329499295147,237.66528345835488,Very hot (1100–1400 K)
L 98-59 d,7.450729,0.0494,1.64,1.627,0,0.041,-0.041,0.1445,0.84,0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0,7.933,Transit,0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.385780179526,40.18084186574586,380.6579289272226,9.834606820421872,327.8124994124873,32.62331466985521,380.6550821245261,9.834533270961614,327.8100478216064,32.623070691907785,Cool (<500 K)
TOI-132 b,2.1097019,0.026,22.4,3.42,0,0.13,-0.14,0.13097297,2.1344043,0,-1.92,1.9,0.059,85.03,0.9,0.97,5397.0,0.0356,0.16,0,10.141,Transit,0,4.48,46.0,-46.0,0.02,-0.02,0.002,-0.003,0.022,-0.022,1.91,0.135,46.0,0.02,0.0025,0.022,1880.6419475003672,218.53750856242337,1400.5382162090598,70.13177707914791,37.03822916347762,5.958390903598155,1400.527742091309,70.13125258900354,37.03795216798471,5.958346342951964,Extremely hot (1400–1700 K)
TOI-1410.01,1.21687,0.0207,12.5,3.10083009,0,0.22026793,-0.1612362,0.124,1.1120799,0,-1.0,1.1,0.0,,0.7558,0.7941,4635.0,0.03761441,0.328,0,9.251,Transit,0,4.579,52.0,-52.0,0.024,-0.02,0.0004,-0.0004,0.022,-0.022,1.05,0.190752065,52.0,0.022,0.0004,0.022,1276.6280606412622,190.183714838232,1235.3100496803152,25.646862614629296,93.21720246548018,19.78254946385789,1235.3008112441419,25.64667081103847,93.21650532780576,19.78240151733984,Very hot (1100–1400 K)
TOI-2015 b,3.348237,0.029322,9.2,3.309,0,0.013,-0.011,0.87,0.9876,0,-0.35,0.32,0.0789,87.61,0.3273,0.3041,3297.0,0.09278,-0.31,0,11.118,Transit,0,5.04,14.0,-28.0,0.0029,-0.0051,3e-06,-3e-06,0.022,-0.022,0.3349999999999999,0.012,21.0,0.004,3e-06,0.022,825.0962353491194,30.634468417644587,485.8510214454358,4.28848974299215,136.6229168997521,6.440519673134637,485.8473879417233,4.2884576709315505,136.62189514647,6.440471506822104,Cool (<500 K)
TOI-2443 b,15.66858,0.105,4.8,2.363,0,0.066,-0.066,0.13933815,4.548,0,-1.1,1.1,0.301,89.72,0.631,0.642,4375.0,0.03436,-0.29,0,7.26,Transit,0,4.42,65.0,-65.0,0.014,-0.014,0.0025,-0.0025,0.021,-0.021,1.1,0.066,65.0,0.014,0.0025,0.021,844.158711541944,199.11740056562212,473.0489169237217,10.42344632392082,145.33419406171032,36.21316562600046,473.0453791623094,10.423368370743319,145.3331071599434,36.212894800858734,Cool (<500 K)
TOI-5398 c,4.77271,0.057,11.8,3.52,0,0.19,-0.19,0.092,3.127,0,-4.7,4.8,0.14,88.4,1.051,1.146,6000.0,0.0308,0.09,0,9.026,Transit,0,4.44,75.0,-75.0,0.013,-0.013,0.003,-0.003,0.021,-0.021,4.75,0.19,75.0,0.013,0.003,0.021,935.2053721385208,389.7625281490228,1136.3788590153822,33.84463404529471,76.22082870779379,33.2111921145354,1136.37036044973,33.844380933542304,76.22025867983902,33.21094374006562,Very hot (1100–1400 K)
TOI-544 b,1.548352,0.0225,2.89,2.018,0,0.076,-0.076,0.09264111,1.21,0,-0.48,0.48,0.0,,0.623,0.631,4169.0,0.0297,-0.17,0,8.592,Transit,0,4.68,70.0,-70.0,0.012,-0.012,0.0002,-0.0002,0.026,-0.026,0.48,0.076,70.0,0.012,0.0002,0.026,696.8925655667219,127.09321165433155,967.5927919273252,19.21664400692021,170.82550732172933,35.16388404087042,967.5855556514989,19.21650029260397,170.8242297796688,35.16362106292539,Hot (800–1100 K)
pi Men c,6.2678399,0.06839,3.63,2.0189,0,0.0465,-0.0448,0.026759,2.952024,0,-0.38,0.38,0.0,87.045,1.17,1.07,5998.0,0.015844,0.09,0,4.869,Transit,0,4.43,62.0,-62.0,0.02,-0.02,0.0005,-0.0005,0.272,-0.272,0.38,0.0456499999999999,62.0,0.02,0.0005,0.272,874.5553915468021,99.7286890420762,1094.2361427063074,15.21197120287686,242.5200651075544,43.79641696722197,1094.2279593107576,15.211857438057196,242.51825138787902,43.796089429691705,Hot (800–1100 K)
